Date,Dolnośląskie,Kujawsko-Pomorskie,Lubuskie,Łódzkie,Lubelskie,Małopolskie,Mazowieckie,Opolskie,Podlaskie,Podkarpackie,Pomorskie,Świętokrzyskie,Śląskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie,Poland total
04/03/20,,,1,,,,,,,,,,,,,,1
05/03/20,,,,,,,,,,,,,,,,,1
06/03/20,1,,,,,,,,,,,,,1,,2,5
07/03/20,,,,,,,,,,,,,,1,,,6
08/03/20,1,,,,,,2,,,,,,2,,,,11
09/03/20,1,,,,,1,,,,,,,3,,1,,17
10/03/20,1,,,,1,,1,,,,,,2,,,,22
11/03/20,,,,1,1,,1,1,,1,,,1,2,1,,31
12/03/20,3,,,1,4,,2,1,,2,,,3,,3,1,51
13/03/20,1,,,3,1,,5,,,3,,,1,,1,2,68
14/03/20,5,,,10,8,,5,2,,1,2,2,,,1,,104
15/03/20,2,,1,4,2,,6,,,1,,1,2,1,,1,125
16/03/20,12,,,12,1,1,13,2,,3,,,4,,4,,177
17/03/20,11,8,,11,4,3,3,2,1,,6,,6,2,2,2,238
18/03/20,2,,1,,,1,28,1,1,3,1,1,6,4,,,287
19/03/20,13,3,6,6,3,1,16,1,-1,3,,1,12,1,2,1,355
20/03/20,5,3,,9,3,7,25,,2,2,1,1,4,5,3,,425
21/03/20,8,4,,34,3,2,20,,2,6,4,1,10,3,13,1,536
22/03/20,13,,2,15,8 ,8 ,20,4 ,1,4 ,3 ,,10 ,2 ,6,2,634
23/03/20,22,3,5,5,9,9 ,28,5,1,1,4,1,11,3,4,4,749
24/03/20,33,1,5,18,6,16,37,2,,7,1,,10,4,2,9,900
25/03/20,16,5,2,15,6,7,39,2,3,6,,6,20 ,4,15,5,1051
26/03/20,15,4,7,14,14,13,40,3,3,10,6,1,20,6,12,2,1221
27/03/20,28,2,1,10,4,24,27,2,4,8,4,7,14,5,21,7,1389
